小温经汤,方剂
石膏知母化斑散,方剂
至宝琥珀锭子,方剂
仙术汤,方剂
狗尾草子,单味药
大干葛汤,方剂
人中白丸,方剂
中山还童酒,方剂
风车藤,单味药
四味散惊丸,方剂
附子苁蓉丸,方剂
草龙,单味药
江珧壳,单味药
大芎辛汤,方剂
补中宁嗽汤,方剂
灵感丸,方剂
虎杖红药子膏,方剂
龙星丹,方剂
瓦垄丸,方剂
四逆汤,方剂
雁肪,单味药
千锤万应化痞膏,方剂
石灰汤,方剂
车前饼子,方剂
玄麦至神汤,方剂
牙宣膏,方剂
小功劳,单味药
大黄煎,方剂
霞天膏,单味药
苍术香附丸,方剂
五痹散,方剂
七物独活汤,方剂
大百风顶,方剂
风气跌扑膏药神方,方剂
苦瓜,单味药
罗浮柿,单味药
山楂,单味药
断节参,单味药
开结舒筋汤,方剂
半豆丸,方剂
人参救肺散,方剂
丹参酒,方剂
小紫菀丸,方剂
紫雪花,单味药
变叶美登木,单味药
大中汤,方剂
元始膏,方剂
虎爪丸,方剂
油柑叶,单味药
万丈深茎叶,单味药
交加饮子,方剂
加味三圣九,方剂
槐白皮,单味药
加味火／九,方剂
玄霜散,方剂
羽泽散,方剂
五洛散,方剂
芙蓉外敷法,方剂
吊痰膏,方剂
莒散,方剂
玉霜散,方剂
干荷叶散,方剂
止声汤,方剂
红肉膏,方剂
平补熟干地黄丸,方剂
甜瓜子,单味药
万捶青云膏,方剂
大母猪藤,单味药
生气汤,方剂
山石榴,单味药
一六甘露饮,方剂
玉蜀黍叶,单味药
灵字丸,方剂
水松枝叶,单味药
两色瓦韦,单味药
牛黄化毒丸,方剂
休疟饮,方剂
仙方救命汤,方剂
苏危散,方剂
龙涎膏,方剂
生地黄七味汤,方剂
三温散,方剂
大白前汤,方剂
安厥汤,方剂
干苔,单味药
明月丹,方剂
四白头,方剂
血翳泻心汤,方剂
五物人参散,方剂
土常山,单味药
红粉散,方剂
地芝丸,方剂
石钟乳丸,方剂
云南油杉,单味药
补益紫金丸,方剂
血余固本九阳丹,方剂
朱沉丹,方剂
